update,episodes,cell,loss,accuracy,grad_norm,seconds,wait_seconds
1,64,orientation_cued_D0,0.69822,0.5156,0.7540,1.240,2.443
2,128,orientation_cued_D0,0.69552,0.5000,1.0487,0.282,0.005
3,192,orientation_cued_D0,0.69047,0.5312,0.5366,0.338,0.005
4,256,orientation_cued_D0,0.69205,0.5781,0.5092,0.305,0.006
5,320,orientation_cued_D0,0.68948,0.5625,0.8028,0.286,0.004
6,384,orientation_cued_D0,0.68867,0.5312,0.6703,0.275,0.005
7,448,orientation_cued_D0,0.69320,0.4531,0.4244,0.266,0.003
8,512,orientation_cued_D0,0.68501,0.5469,0.7444,0.291,0.007
9,576,orientation_cued_D0,0.69155,0.5781,0.9644,0.248,0.008
10,640,orientation_cued_D0,0.68720,0.5938,0.7115,0.279,0.008
11,704,orientation_cued_D0,0.68964,0.5000,0.9478,0.266,0.008
12,768,orientation_cued_D0,0.67991,0.5781,1.0641,0.261,0.006
13,832,orientation_cued_D0,0.68589,0.4844,1.5613,0.254,0.007
14,896,orientation_cued_D0,0.66137,0.6094,1.3267,0.280,0.006
15,960,orientation_cued_D0,0.67176,0.6406,1.6427,0.245,0.005
16,1024,orientation_cued_D0,0.67798,0.5781,2.3304,0.266,0.006
17,1088,orientation_cued_D0,0.64603,0.7344,1.8833,0.270,0.008
18,1152,orientation_cued_D0,0.64948,0.6875,2.1371,0.302,0.007
19,1216,orientation_cued_D0,0.61446,0.7656,2.9978,0.266,0.006
20,1280,orientation_cued_D0,0.63253,0.7031,2.7713,0.245,0.005
21,1344,orientation_cued_D0,0.60191,0.8125,3.3001,0.253,0.005
22,1408,orientation_cued_D0,0.59112,0.7656,2.8493,0.276,0.005
23,1472,orientation_cued_D0,0.59229,0.7031,3.5880,0.276,0.008
24,1536,orientation_cued_D0,0.57538,0.7656,3.7189,0.320,0.009
25,1600,orientation_cued_D0,0.53289,0.7500,5.5583,0.296,0.004
26,1664,orientation_cued_D0,0.50845,0.9219,3.8077,0.289,0.006
27,1728,orientation_cued_D0,0.48195,0.8750,5.3389,0.343,0.007
28,1792,orientation_cued_D0,0.44350,0.9062,5.4128,0.306,0.007
29,1856,orientation_cued_D0,0.45382,0.8906,4.2723,0.287,0.008
30,1920,orientation_cued_D0,0.36928,0.9531,3.6328,0.307,0.007
31,1984,orientation_cued_D0,0.39605,0.9219,4.7608,0.268,0.007
32,2048,orientation_cued_D0,0.33680,0.9531,5.2958,0.292,0.007
33,2112,orientation_cued_D0,0.29229,0.9844,4.2601,0.270,0.008
34,2176,orientation_cued_D0,0.30744,0.9375,10.7151,0.270,0.008
35,2240,orientation_cued_D0,0.26792,0.9531,5.9225,0.294,0.007
36,2304,orientation_cued_D0,0.31237,0.9062,15.7600,0.250,0.006
37,2368,orientation_cued_D0,0.22502,0.9688,5.2892,0.271,0.006
38,2432,orientation_cued_D0,0.17169,1.0000,5.1845,0.270,0.008
39,2496,orientation_cued_D0,0.15807,1.0000,5.7360,0.257,0.007
40,2560,orientation_cued_D0,0.17134,0.9844,5.0937,0.271,0.007
41,2624,orientation_cued_D0,0.11091,1.0000,3.1235,0.254,0.007
42,2688,orientation_cued_D0,0.14048,0.9844,3.8250,0.254,0.005
43,2752,orientation_cued_D0,0.14646,0.9688,7.2024,0.267,0.007
44,2816,orientation_cued_D0,0.11539,0.9844,10.7970,0.271,0.005
45,2880,orientation_cued_D0,0.12737,0.9688,10.7029,0.263,0.005
46,2944,orientation_cued_D0,0.09137,0.9844,5.6346,0.257,0.005
47,3008,orientation_cued_D0,0.12670,0.9688,11.8849,0.248,0.006
48,3072,orientation_cued_D0,0.11551,0.9688,11.2533,0.259,0.005
49,3136,orientation_cued_D0,0.07649,1.0000,4.1033,0.261,0.008
50,3200,orientation_cued_D0,0.06426,1.0000,4.2056,0.268,0.007
51,3264,orientation_cued_D0,0.10265,0.9844,12.6030,0.270,0.005
52,3328,orientation_cued_D0,0.06637,0.9844,6.2299,0.258,0.006
53,3392,orientation_cued_D0,0.14372,0.9531,15.9757,0.280,0.005
54,3456,orientation_cued_D0,0.04368,1.0000,3.1818,0.247,0.006
55,3520,orientation_cued_D0,0.04970,0.9844,5.7340,0.299,0.007
56,3584,orientation_cued_D0,0.07335,0.9844,5.8651,0.313,0.006
57,3648,orientation_cued_D0,0.10871,0.9531,8.1607,0.261,0.009
58,3712,orientation_cued_D0,0.06104,0.9844,4.4953,0.271,0.008
59,3776,orientation_cued_D0,0.03719,1.0000,2.6231,0.264,0.008
60,3840,orientation_cued_D0,0.09435,0.9688,10.4625,0.259,0.008
61,3904,orientation_cued_D0,0.02915,1.0000,1.4899,0.274,0.006
62,3968,orientation_cued_D0,0.03388,1.0000,2.0288,0.249,0.008
63,4032,orientation_cued_D0,0.04773,0.9844,5.2612,0.268,0.006
64,4096,orientation_cued_D0,0.04666,1.0000,6.3283,0.267,0.005
65,4160,orientation_cued_D0,0.06943,0.9844,12.9272,0.278,0.006
66,4224,orientation_cued_D0,0.10331,0.9688,14.9701,0.263,0.008
67,4288,orientation_cued_D0,0.05879,0.9844,9.0977,0.339,0.004
68,4352,orientation_cued_D0,0.05804,0.9844,12.7843,0.270,0.004
69,4416,orientation_cued_D0,0.08306,0.9844,4.8908,0.341,0.011
70,4480,orientation_cued_D0,0.01786,1.0000,0.8819,0.318,0.006
71,4544,orientation_cued_D0,0.09567,0.9688,13.5347,0.332,0.007
72,4608,orientation_cued_D0,0.03612,0.9844,5.4202,0.294,0.004
73,4672,orientation_cued_D0,0.03838,0.9844,4.7748,0.265,0.005
74,4736,orientation_cued_D0,0.02313,1.0000,2.7741,0.351,0.006
75,4800,orientation_cued_D0,0.04224,0.9688,5.7050,0.331,0.008
76,4864,orientation_cued_D0,0.02423,1.0000,3.0899,0.265,0.004
77,4928,orientation_cued_D0,0.02544,1.0000,3.5336,0.328,0.007
78,4992,orientation_cued_D0,0.04057,0.9844,10.1076,0.251,0.005
79,5056,orientation_cued_D0,0.04739,0.9844,8.2940,0.265,0.005
80,5120,orientation_cued_D0,0.04153,0.9844,18.8258,0.274,0.007
81,5184,orientation_cued_D0,0.01994,1.0000,3.0885,0.260,0.007
82,5248,orientation_cued_D0,0.12191,0.9688,9.2949,0.264,0.004
83,5312,orientation_cued_D0,0.09063,0.9531,27.9667,0.266,0.005
